part	man	module
003-0089-000	ITT Cannon	ITT Cannon_LC
0033.1133	Schurter	Schurter
0033.1134	Schurter	Schurter
0033.3553	Schurter	Schurter
0033.4518	Schurter	Schurter
0035.9614	Schurter	Schurter
00476	Legrand AV Inc	Legrand AV Inc
00478	Legrand AV Inc	Legrand AV Inc
00495	Legrand AV Inc	Legrand AV Inc
00533	Legrand AV Inc	Legrand AV Inc
00534	Legrand AV Inc	Legrand AV Inc
00538	Legrand AV Inc	Legrand AV Inc
00539	Legrand AV Inc	Legrand AV Inc
00543	Legrand AV Inc	Legrand AV Inc
00544	Legrand AV Inc	Legrand AV Inc
00556	Legrand AV Inc	Legrand AV Inc
00557	Legrand AV Inc	Legrand AV Inc
00560	Legrand AV Inc	Legrand AV Inc
00565	Legrand AV Inc	Legrand AV Inc
00566	Legrand AV Inc	Legrand AV Inc
00568	Legrand AV Inc	Legrand AV Inc
00571	Legrand AV Inc	Legrand AV Inc
00573	Legrand AV Inc	Legrand AV Inc
00576	Legrand AV Inc	Legrand AV Inc
00577	Legrand AV Inc	Legrand AV Inc
00586	Legrand AV Inc	Legrand AV Inc
00597	Legrand AV Inc	Legrand AV Inc
00600	Legrand AV Inc	Legrand AV Inc
00614	Legrand AV Inc	Legrand AV Inc
00618	Legrand AV Inc	Legrand AV Inc
006208000125020+	Kyocera	Kyocera
006208010129020+	Kyocera	Kyocera
006208200122020+	Kyocera	Kyocera
006208521310020+	Kyocera	Kyocera
006208528410020+	Kyocera	Kyocera
00621	Legrand AV Inc	Legrand AV Inc
006232007000800+	Kyocera	Kyocera
006232007006894+	Kyocera	Kyocera
006232020006894+	Kyocera	Kyocera
006232022104800+	Kyocera	Kyocera
006232023006894+	Kyocera	Kyocera
006232026104800+	Kyocera	Kyocera
00625	Legrand AV Inc	Legrand AV Inc
00629	Legrand AV Inc	Legrand AV Inc
00632	Legrand AV Inc	Legrand AV Inc
00638	Legrand AV Inc	Legrand AV Inc
00652	Legrand AV Inc	Legrand AV Inc
