part	man	module
#57-983	Edmund Optics Inc	Edmund Optics
0 047 82	Legrand	Legrand
0 140 50	Legrand	Legrand
0 281 79	Legrand	Legrand
0 288 25	Legrand	Legrand
0 320 22	Legrand	Legrand
0 320 29	Legrand	Legrand
0 337 86	Legrand	Legrand
0 340 03	Legrand	Legrand
0 340 04	Legrand	Legrand
0 383 38	Legrand	Legrand
0 506 85	Legrand	Legrand
0 514 00	Legrand	Legrand
0 514 05	Legrand	Legrand
0 526 44	Legrand	Legrand
0 526 54	Legrand	Legrand
0 540 03	Legrand	Legrand
0 540 34	Legrand	Legrand
0 695 04	Legrand	Legrand
0 695 17	Legrand	Legrand
0 695 24	Legrand	Legrand
0 695 53	Legrand	Legrand
0 695 55	Legrand	Legrand
0 695 56	Legrand	Legrand
0 695 61	Legrand	Legrand
0 695 85	Legrand	Legrand
0 696 39	Legrand	Legrand
0 696 83	Legrand	Legrand
0 696 89	Legrand	Legrand
0 696 90	Legrand	Legrand
0 696 91	Legrand	Legrand
0 696 92	Legrand	Legrand
0 767 18	Legrand	Legrand
0 767 51	Legrand	Legrand
0 770 40	Legrand	Legrand
0 770 62	Legrand	Legrand
0 770 94	Legrand	Legrand
0 772 13	Legrand	Legrand
0 772 53	Legrand	Legrand
0 784 86	Legrand	Legrand
0 789 13	Legrand	Legrand
0 790 84	Legrand	Legrand
0 793 28	Legrand	Legrand
0 794 81	Legrand	Legrand
0 794 85	Legrand	Legrand
0 968 21	Legrand	Legrand
0.5-2	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
0.5-2A	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
0.5-4	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
0.5-4	J.S.T.MFG.CO.,LTD	JST Manufacturing_RoHS
0033.4062	Schurter	Schurter
0041.0401	Schurter	Schurter
005.17.374	ETTINGER GmbH	ETTINGER
005.20.215	ETTINGER GmbH	ETTINGER
005.55.253	ETTINGER GmbH	ETTINGER
006-2-012-D-B1STF-XS0	MPE-Garry GmbH	MPE Garry GmbH
008-1-006-D-D2STF-XS0	MPE-Garry GmbH	MPE Garry GmbH
009612 60	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
01-0101-0250	Parker Hannifin	Parker Hannifin
01-0401-0541	Parker Hannifin	Parker Hannifin
01-0401-0819	Parker Hannifin	Parker Hannifin
01-0401-1845	Parker Hannifin	Parker Hannifin
01-0401-1890	Parker Hannifin	Parker Hannifin
01-0501-1882	Parker Hannifin	Parker Hannifin
01-0701-1784	Parker Hannifin	Parker Hannifin
01-10-401-65	Southco	Southco
01-10-401-65	Southco	Southco_Scrubbing
01-13-55	Southco	Southco
01-13-55	Southco	Southco_Scrubbing
01-23-31	Southco	Southco
01-23-31	Southco	Southco_Scrubbing
01-33-35	Southco	Southco
01-33-35	Southco	Southco_Scrubbing
01-951.3	EAO	EAO
011-2049-040519	ITT Inc	ITT Corporation
0110765	Optimas OE Solutions LLC	Optimas OE Solutions LLC
01141000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
01199000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
0121743	Fastenal Company	Fastenal Company
01231000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
01240000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
0125800	Fastenal Company	Fastenal Company
01272000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
0127425	Fastenal Company	Fastenal Company
0128164	Fastenal Company	Fastenal Company
01287000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
01290000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
01292000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
0130159	Fastenal Company	Fastenal Company
01318000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
0138 20 00	Parker Hannifin	Parker Hannifin
0139 17 00	Parker Hannifin	Parker Hannifin
0140702	Fastenal Company	Fastenal Company
0141733	Fastenal Company	Fastenal Company
0142140	Fastenal Company	Fastenal Company
0142150	Fastenal Company	Fastenal Company
0142155	Fastenal Company	Fastenal Company
0145529	Fastenal Company	Fastenal Company
0150-1869	LinMot	LinMot
0150-4122	LinMot	LinMot
01500612A	Magnetics	Magnetics
01515000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
01518000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
01520562A	Magnetics	Magnetics
01520842A	Magnetics	Magnetics
01521542A	Magnetics	Magnetics
01521762A	Magnetics	Magnetics
01538000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
0156122	Fastenal Company	Fastenal Company
01563000A	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
01608000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
01609000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
01615000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
01620000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
01622000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
0168 27 17	Parker Hannifin	Parker Hannifin
0169857	Fastenal Company	Fastenal Company
0169858	Fastenal Company	Fastenal Company
0169859	Fastenal Company	Fastenal Company
0169860	Fastenal Company	Fastenal Company
0169861	Fastenal Company	Fastenal Company
0169862	Fastenal Company	Fastenal Company
0169863	Fastenal Company	Fastenal Company
0169865	Fastenal Company	Fastenal Company
0169866	Fastenal Company	Fastenal Company
0169884	Fastenal Company	Fastenal Company
0169886	Fastenal Company	Fastenal Company
0169888	Fastenal Company	Fastenal Company
0169889	Fastenal Company	Fastenal Company
0169891	Fastenal Company	Fastenal Company
0169893	Fastenal Company	Fastenal Company
0170318	Fastenal Company	Fastenal Company
01753000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
01754000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
018M020	ZSI-Foster	ZSI-Foster
01906000	Woehner GmbH & Co. KG	Woehner GmbH & Co. KG
0191 13 21	Parker Hannifin	Parker Hannifin
0199000017	Fair-Rite Products Corp	Fair-Rite Products
01P-LELSS-GA-TF(HF)	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
01P-LELSS-GA-TF(HF)	J.S.T.MFG.CO.,LTD	JST Manufacturing_RoHS
01R-LELSS-GA-TF(HF)	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
01R-LELSS-GA-TF(HF)	J.S.T.MFG.CO.,LTD	JST Manufacturing_RoHS
02 01 160 1102	HARTING Technology Group	Harting Technology Group_Rohs
02 02 160 1202	HARTING Technology Group	Harting Technology Group_Rohs
02 02 160 2804	HARTING Technology Group	Harting Technology Group_Rohs
02 05 000 1513	HARTING Technology Group	Harting Technology Group_Rohs
02-10-102-20	Southco	Southco
02-10-102-20	Southco	Southco_Scrubbing
02-16-101-11	Southco	Southco
02-16-101-11	Southco	Southco_Scrubbing
02-617.011	EAO	EAO
02-893-5C	Thermo Fisher Scientific Inc	Thermo Fisher Scientific
02-911-762	Thermo Fisher Scientific Inc	Thermo Fisher Scientific
020014V0747	Parker Hannifin	Parker Hannifin
02005-110	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
0203247	PHOENIX CONTACT	PHOENIX CONTACT_2
020M024	ZSI-Foster	ZSI-Foster
0210	ABB	ABB Semiconductors AG
021N026	Unistrut	Unistrut
02202037	Hubbell	Hubbell
02202043	Hubbell	Hubbell
02203013	Hubbell	Hubbell
02203019	Hubbell	Hubbell
02203021	Hubbell	Hubbell
02203038	Hubbell	Hubbell
02203044	Hubbell	Hubbell
0225004.HXUP	Littelfuse	Littelfuse_Reach
0230-101	ABB	ABB Semiconductors AG
0232002.MXF22P	Littelfuse	Littelfuse_Reach
0232002.MXF34P	Littelfuse	Littelfuse_Reach
0239-0-0087	ABB	ABB Semiconductors AG
0239002.VXP	Littelfuse	Littelfuse_Reach
0239003.MXF20P	Littelfuse	Littelfuse_Reach
0239003.MXF34P	Littelfuse	Littelfuse_Reach
0239003.VXP	Littelfuse	Littelfuse_Reach
0239005.VXP	Littelfuse	Littelfuse_Reach
023901.6VXP	Littelfuse	Littelfuse_Reach
024703	ABB	ABB Semiconductors AG
0248/02-101	ABB	ABB Semiconductors AG
0253003.M	Littelfuse	Littelfuse_Reach
027.832.070.150.007	ODU GmbH & Co. KG	ODU GmbH & Co. KG
027.832.110.210.007	ODU GmbH & Co. KG	ODU GmbH & Co. KG
02853-000	Omron	Omron
02973 8	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
02977618	Aptiv	Delphi
0299 3 8	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0299 5 20	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
02993 10	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
02P-MWPV-SSR	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
02P-MWPV-SSR	J.S.T.MFG.CO.,LTD	JST Manufacturing_RoHS
02ZR-3H-P	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
02ZR-3H-P	J.S.T.MFG.CO.,LTD	JST Manufacturing_RoHS
030-3636-000	ITT Inc	ITT Corporation
03010-220	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
03026-05	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
03046	Kimberly-Clark	Kimberly-Clark
03229436	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0324450	SCHUNK SE & Co. KG	SCHUNK GmbH & Co. KG
0326 916	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0326 94	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
032N036	Unistrut	Unistrut
033-1-014-3-M1F-XS0	MPE-Garry GmbH	MPE Garry GmbH
03302046	Hubbell	Hubbell
03302052	Hubbell	Hubbell
03415-112112080	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
03420024Z	Littelfuse	Littelfuse_Reach
0348 06	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0348 4	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
035-72272-1	ABB	ABB Semiconductors AG
040AT2503SMLF	Gowanda Electronics	Gowanda Electronics
0410 040 436	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0410CDMCCDS-6R8MC	SUMIDA CORPORATION	Sumida
0411 10 304	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0413 112	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0413005	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0413008	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
04163	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0425 030 601	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0425 071 303	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0425 121 812	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
04415	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
046232106008800+	Kyocera	Kyocera
046810645020846+T	Kyocera	Kyocera
046810660020846+T	Kyocera	Kyocera
046824622000846+	Kyocera	Kyocera
047601.6MR	Littelfuse	Littelfuse_Reach
04822001ZXPFSH	Littelfuse	Littelfuse_Reach
0490-22	Milwaukee Tool	Milwaukee Electric Tool
04ASR-30S	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
04SUR-32S	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
04SUR-32S	J.S.T.MFG.CO.,LTD	JST Manufacturing_RoHS
05.CMB 8181-0	Kubler	Kubler
0500162	Fastenal Company	Fastenal Company
0502 131	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0502 14 4	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
05032001001	Wera Werkzeuge GmbH	Wera Werkzeuge GmbH
05032003001	Wera Werkzeuge GmbH	Wera Werkzeuge GmbH
05032004001	Wera Werkzeuge GmbH	Wera Werkzeuge GmbH
050N056	Unistrut	Unistrut
0543 058 014	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0543 208 030	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0543 208 052	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
054308	ABB	ABB Semiconductors AG
055002500003	Essentra Components	ESSENTRA COMPONENTS AMERICAS
05531-92520212	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
0592 999 060	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0592 999 120	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0592998045	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0592999045	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
0592999100	Adolf Wuerth GmbH & Co. KG	Adolf Wurth
05MQ-ST	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
05MQ-ST	J.S.T.MFG.CO.,LTD	JST Manufacturing_RoHS
06092-104	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
061553	Mountz Torque	Mountz Incorporated
06156-5063122	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
061621	Mountz Torque	Mountz Incorporated
0624CDMCCDS-100MC	SUMIDA CORPORATION	Sumida
06297	3M	3M
06702-15008X20	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
06713	Desco Industries	Desco Industries
068103	Mountz Torque	Mountz Incorporated
068109	Mountz Torque	Mountz Incorporated
068112	Mountz Torque	Mountz Incorporated
068115	Mountz Torque	Mountz Incorporated
068148	Mountz Torque	Mountz Incorporated
068150	Mountz Torque	Mountz Incorporated
068157	Mountz Torque	Mountz Incorporated
068163	Mountz Torque	Mountz Incorporated
068215	Mountz Torque	Mountz Incorporated
068222	Mountz Torque	Mountz Incorporated
068314	Mountz Torque	Mountz Incorporated
06915-120061	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
06915-140081	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
06924-25006	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
06946-200081	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
06R218AC	Parker Hannifin	Parker Hannifin
06SUR-32S	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
06SUR-32S	J.S.T.MFG.CO.,LTD	JST Manufacturing_RoHS
07-0101-0289	Parker Hannifin	Parker Hannifin
07-0101-0293	Parker Hannifin	Parker Hannifin
07-0101-0300	Parker Hannifin	Parker Hannifin
07-0101-0370	Parker Hannifin	Parker Hannifin
07-0102-0461	Parker Hannifin	Parker Hannifin
07-0701-3003	Parker Hannifin	Parker Hannifin
07-10-101-12	Southco	Southco
0706971	Fastenal Company	Fastenal Company
0707235	PHOENIX CONTACT	PHOENIX CONTACT_2
07110-21035	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
07113-11612	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
0712259	Fastenal Company	Fastenal Company
073031202	Hubbell	Hubbell
07310004	Hubbell	Hubbell
07310005	Hubbell	Hubbell
078548001T	ABB	ABB Semiconductors AG
08 1200 085 055	Franz Binder GmbH & Co. Elektrische Bauelemente KG	Binder
0801502	PHOENIX CONTACT	PHOENIX CONTACT_2
0801836	PHOENIX CONTACT	PHOENIX CONTACT_2
0803105	PHOENIX CONTACT	PHOENIX CONTACT_2
0804109:0041	PHOENIX CONTACT	PHOENIX CONTACT_2
0804293: 0011	PHOENIX CONTACT	PHOENIX CONTACT_2
0804293:0091	PHOENIX CONTACT	PHOENIX CONTACT_2
0808749:0091	PHOENIX CONTACT	PHOENIX CONTACT_2
0818522	PHOENIX CONTACT	PHOENIX CONTACT_2
0818551	PHOENIX CONTACT	PHOENIX CONTACT_2
0825131/T2R/T1R/PE/-/+R	PHOENIX CONTACT	PHOENIX CONTACT_2
