part	man	module
00 6200 207 012 800+	Kyocera	Kyocera
00 6200257012 800+	Kyocera	Kyocera
00 6208 000 105 001+	Kyocera	Kyocera
00 6208 000 114 001+	Kyocera	Kyocera
00 6208 000 130 001+	Kyocera	Kyocera
00 6208 505 110 009+	Kyocera	Kyocera
00 6232 103 103 800+	Kyocera	Kyocera
00 8261 0261 10 854	Kyocera	Kyocera
00 8261 0361 10 806	Kyocera	Kyocera
00 8261 0832 10 806	Kyocera	Kyocera
00 8261 1032 10 852	Kyocera	Kyocera
00 8261 1632 10 806	Kyocera	Kyocera
00-8017-100-000-003	Kyocera	Kyocera
00-8289-010-002-113	Kyocera	Kyocera
00-9021-02-12-00-339	Kyocera	Kyocera
00-9021-03-11-00-339	Kyocera	Kyocera
00-9021-10-12-00-339	Kyocera	Kyocera
00-9021-262-400-339	Kyocera	Kyocera
00-9021-302-400-339	Kyocera	Kyocera
00-9067-031-000-806	Kyocera	Kyocera
001-000-021	Bossard Group	Bossard Group
002.01.2310.021	IMS Connector Systems	IMS Connector Systems
002054297	Bossard Group	Bossard Group
002056236	Bossard Group	Bossard Group
002056237	Bossard Group	Bossard Group
002056238	Bossard Group	Bossard Group
002056451	Bossard Group	Bossard Group
002056454	Bossard Group	Bossard Group
002056495	Bossard Group	Bossard Group
002056536	Bossard Group	Bossard Group
002056570	Bossard Group	Bossard Group
002056571	Bossard Group	Bossard Group
002056589	Bossard Group	Bossard Group
002056590	Bossard Group	Bossard Group
002056593	Bossard Group	Bossard Group
002056649	Bossard Group	Bossard Group
002056650	Bossard Group	Bossard Group
002056656	Bossard Group	Bossard Group
002056795	Bossard Group	Bossard Group
002056888	Bossard Group	Bossard Group
002056889	Bossard Group	Bossard Group
002056961	Bossard Group	Bossard Group
002056964	Bossard Group	Bossard Group
002056965	Bossard Group	Bossard Group
002056966	Bossard Group	Bossard Group
002056967	Bossard Group	Bossard Group
002056968	Bossard Group	Bossard Group
002056969	Bossard Group	Bossard Group
002056970	Bossard Group	Bossard Group
002056971	Bossard Group	Bossard Group
002057001	Bossard Group	Bossard Group
002057040	Bossard Group	Bossard Group
002057041	Bossard Group	Bossard Group
002057059	Bossard Group	Bossard Group
002057091	Bossard Group	Bossard Group
002057092	Bossard Group	Bossard Group
002057099	Bossard Group	Bossard Group
002158-01	Parker Hannifin	Parker Hannifin
0031.8317	Schurter	Schurter
0031.8319	Schurter	Schurter
003572-01	Parker Hannifin	Parker Hannifin
004-102233-01	XP Power	XP Power
0040.1013	Schurter	Schurter
0040.1015	Schurter	Schurter
00400-2-2957	ebm-papst	ebm-papst
005050385	Foxconn	Foxconn
005050386	Foxconn	Foxconn
005050387	Foxconn	Foxconn
005050394	Foxconn	Foxconn
005050395	Foxconn	Foxconn
005050531	Foxconn	Foxconn
005050532	Foxconn	Foxconn
005050533	Foxconn	Foxconn
005050534	Foxconn	Foxconn
005050535	Foxconn	Foxconn
005050536	Foxconn	Foxconn
005050537	Foxconn	Foxconn
005050538	Foxconn	Foxconn
005050539	Foxconn	Foxconn
005050540	Foxconn	Foxconn
005050541	Foxconn	Foxconn
005050542	Foxconn	Foxconn
005050543	Foxconn	Foxconn
005050544	Foxconn	Foxconn
005050545	Foxconn	Foxconn
005050547	Foxconn	Foxconn
005050548	Foxconn	Foxconn
005050549	Foxconn	Foxconn
005050550	Foxconn	Foxconn
005050551	Foxconn	Foxconn
005050552	Foxconn	Foxconn
005050553	Foxconn	Foxconn
005050554	Foxconn	Foxconn
005050555	Foxconn	Foxconn
005050556	Foxconn	Foxconn
005050573	Foxconn	Foxconn
005050574	Foxconn	Foxconn
005050575	Foxconn	Foxconn
005050576	Foxconn	Foxconn
005050577	Foxconn	Foxconn
005050578	Foxconn	Foxconn
005050579	Foxconn	Foxconn
005050580	Foxconn	Foxconn
005050581	Foxconn	Foxconn
005050582	Foxconn	Foxconn
005050583	Foxconn	Foxconn
005050584	Foxconn	Foxconn
005050585	Foxconn	Foxconn
005050586	Foxconn	Foxconn
005050587	Foxconn	Foxconn
005050588	Foxconn	Foxconn
005050589	Foxconn	Foxconn
005050590	Foxconn	Foxconn
005050591	Foxconn	Foxconn
005050592	Foxconn	Foxconn
005050593	Foxconn	Foxconn
005050594	Foxconn	Foxconn
005050595	Foxconn	Foxconn
005050596	Foxconn	Foxconn
005050597	Foxconn	Foxconn
005050598	Foxconn	Foxconn
005050599	Foxconn	Foxconn
005050600	Foxconn	Foxconn
005050601	Foxconn	Foxconn
005050602	Foxconn	Foxconn
005050603	Foxconn	Foxconn
005050604	Foxconn	Foxconn
005050605	Foxconn	Foxconn
005050606	Foxconn	Foxconn
005050607	Foxconn	Foxconn
005050608	Foxconn	Foxconn
005050609	Foxconn	Foxconn
005050610	Foxconn	Foxconn
005050611	Foxconn	Foxconn
005050612	Foxconn	Foxconn
005050613	Foxconn	Foxconn
005050614	Foxconn	Foxconn
005050615	Foxconn	Foxconn
005050616	Foxconn	Foxconn
005050617	Foxconn	Foxconn
005050618	Foxconn	Foxconn
005050619	Foxconn	Foxconn
005050620	Foxconn	Foxconn
005050621	Foxconn	Foxconn
005050622	Foxconn	Foxconn
005050623	Foxconn	Foxconn
005050624	Foxconn	Foxconn
005050627	Foxconn	Foxconn
005050628	Foxconn	Foxconn
005050629	Foxconn	Foxconn
005050630	Foxconn	Foxconn
005050631	Foxconn	Foxconn
005050632	Foxconn	Foxconn
005050633	Foxconn	Foxconn
005050634	Foxconn	Foxconn
005050635	Foxconn	Foxconn
005050636	Foxconn	Foxconn
005050637	Foxconn	Foxconn
005050638	Foxconn	Foxconn
005050639	Foxconn	Foxconn
005050640	Foxconn	Foxconn
005050641	Foxconn	Foxconn
005050642	Foxconn	Foxconn
005050643	Foxconn	Foxconn
005050644	Foxconn	Foxconn
005050645	Foxconn	Foxconn
005050646	Foxconn	Foxconn
005050647	Foxconn	Foxconn
005050648	Foxconn	Foxconn
005050668	Foxconn	Foxconn
005050669	Foxconn	Foxconn
005050670	Foxconn	Foxconn
005050672	Foxconn	Foxconn
005050673	Foxconn	Foxconn
005050674	Foxconn	Foxconn
005050675	Foxconn	Foxconn
005050676	Foxconn	Foxconn
005050678	Foxconn	Foxconn
005050679	Foxconn	Foxconn
005050680	Foxconn	Foxconn
005050681	Foxconn	Foxconn
005050682	Foxconn	Foxconn
005050683	Foxconn	Foxconn
005050684	Foxconn	Foxconn
005050685	Foxconn	Foxconn
005050686	Foxconn	Foxconn
005050687	Foxconn	Foxconn
005050688	Foxconn	Foxconn
005050694	Foxconn	Foxconn
005050700	Foxconn	Foxconn
005050701	Foxconn	Foxconn
005050705	Foxconn	Foxconn
005050708	Foxconn	Foxconn
005050710	Foxconn	Foxconn
005050712	Foxconn	Foxconn
005050713	Foxconn	Foxconn
005050714	Foxconn	Foxconn
005050716	Foxconn	Foxconn
005050717	Foxconn	Foxconn
005050718	Foxconn	Foxconn
005050720	Foxconn	Foxconn
005050721	Foxconn	Foxconn
005050722	Foxconn	Foxconn
005050723	Foxconn	Foxconn
005050724	Foxconn	Foxconn
005050725	Foxconn	Foxconn
005050726	Foxconn	Foxconn
005050727	Foxconn	Foxconn
005050731	Foxconn	Foxconn
005050732	Foxconn	Foxconn
005050733	Foxconn	Foxconn
005050734	Foxconn	Foxconn
005050735	Foxconn	Foxconn
005050736	Foxconn	Foxconn
005050737	Foxconn	Foxconn
005050739	Foxconn	Foxconn
005050740	Foxconn	Foxconn
005050741	Foxconn	Foxconn
005050742	Foxconn	Foxconn
005050743	Foxconn	Foxconn
005050744	Foxconn	Foxconn
005050746	Foxconn	Foxconn
005050747	Foxconn	Foxconn
005050748	Foxconn	Foxconn
005050750	Foxconn	Foxconn
005050751	Foxconn	Foxconn
005050761	Foxconn	Foxconn
005050762	Foxconn	Foxconn
005050763	Foxconn	Foxconn
005050764	Foxconn	Foxconn
005050768	Foxconn	Foxconn
005050769	Foxconn	Foxconn
005050770	Foxconn	Foxconn
005050771	Foxconn	Foxconn
005050772	Foxconn	Foxconn
005050773	Foxconn	Foxconn
005050780	Foxconn	Foxconn
005050783	Foxconn	Foxconn
005050784	Foxconn	Foxconn
005050785	Foxconn	Foxconn
005050786	Foxconn	Foxconn
005050787	Foxconn	Foxconn
005050788	Foxconn	Foxconn
005050789	Foxconn	Foxconn
005050790	Foxconn	Foxconn
005050791	Foxconn	Foxconn
005050792	Foxconn	Foxconn
005050793	Foxconn	Foxconn
005050794	Foxconn	Foxconn
005050795	Foxconn	Foxconn
005050796	Foxconn	Foxconn
005050797	Foxconn	Foxconn
005050798	Foxconn	Foxconn
005050799	Foxconn	Foxconn
005050800	Foxconn	Foxconn
005050801	Foxconn	Foxconn
005050802	Foxconn	Foxconn
005050803	Foxconn	Foxconn
005050804	Foxconn	Foxconn
005050805	Foxconn	Foxconn
005050806	Foxconn	Foxconn
005050807	Foxconn	Foxconn
005050808	Foxconn	Foxconn
005050809	Foxconn	Foxconn
005050810	Foxconn	Foxconn
005050811	Foxconn	Foxconn
005050812	Foxconn	Foxconn
005050813	Foxconn	Foxconn
005050817	Foxconn	Foxconn
006-0026-01	Bossard Group	Bossard Group
006-00421-3	Cinch Connectivity Solutions	Cinch Connectors_LC
006-0089-01	Bossard Group	Bossard Group
006205280500825+	Kyocera	Kyocera
006205300500825+	Kyocera	Kyocera
006207321720000	Kyocera	Kyocera
006208500024620+	Kyocera	Kyocera
006208500026008+	Kyocera	Kyocera
006208500026829+	Kyocera	Kyocera
006208500026852+	Kyocera	Kyocera
006208500030020+	Kyocera	Kyocera
006208520030008+	Kyocera	Kyocera
006208520030030+	Kyocera	Kyocera
006208520030620+	Kyocera	Kyocera
006208520030829+	Kyocera	Kyocera
006208520030852+	Kyocera	Kyocera
006208522110009+	Kyocera	Kyocera
006208530410030+	Kyocera	Kyocera
006232108006868+	Kyocera	Kyocera
006232110103800	Kyocera	Kyocera
007-0003-01	Bossard Group	Bossard Group
007-0006-01	Bossard Group	Bossard Group
007-0006-02	Bossard Group	Bossard Group
007-0008-01	Bossard Group	Bossard Group
008 402	Buerkert Fluid Control Systems	Burkert Fluid Control Systems
008-00771-9	Cinch Connectivity Solutions	Cinch Connectors_LC
008345244990032	Kyocera	Kyocera
009155003003016+	Kyocera	Kyocera
009155003201006+	Kyocera	Kyocera
0094 668.07	ABB	ABB Semiconductors AG
009431212	ABB	ABB Semiconductors AG
0100FRK06200498083SVM	Parker Hannifin	Parker Hannifin
0100FRS09300498130SVM	Parker Hannifin	Parker Hannifin
0101-8-12-B	Parker Hannifin	Parker Hannifin
0101-8-12-SS	Parker Hannifin	Parker Hannifin
0102OA24603000-221A	Parker Hannifin	Parker Hannifin
01070001Z	Littelfuse	Littelfuse_Reach
0120491.11	ABB	ABB Semiconductors AG
01477-4-6711	ebm-papst	ebm-papst
01524-KA24-AQG1	VAT Vakuumventile AG	VAT Vakuumventile AG
0153009Z	Littelfuse	Littelfuse_Reach
0188-20-24B	Parker Hannifin	Parker Hannifin
0188-24-20C	Parker Hannifin	Parker Hannifin
019916800	ABB	ABB Semiconductors AG
020020V8910	Parker Hannifin	Parker Hannifin
0201-053	Parker Hannifin	Parker Hannifin
0201-16-8	Parker Hannifin	Parker Hannifin
0201-8-6	Parker Hannifin	Parker Hannifin
02010-AA24-1008	VAT Vakuumventile AG	VAT Vakuumventile AG
02010-BA24-1007	VAT Vakuumventile AG	VAT Vakuumventile AG
02010-BA24-1019	VAT Vakuumventile AG	VAT Vakuumventile AG
0206-014	Parker Hannifin	Parker Hannifin
02109-BA24-AMU1	VAT Vakuumventile AG	VAT Vakuumventile AG
0210X-BA24-CLK1	VAT Vakuumventile AG	VAT Vakuumventile AG
02112-AA24-AVU1	VAT Vakuumventile AG	VAT Vakuumventile AG
02112-BA44-BAT1	VAT Vakuumventile AG	VAT Vakuumventile AG
02160-03	Panduit	Panduit
0217.400MXBP	Littelfuse	Littelfuse_Reach
0220X-BA24-CIN1	VAT Vakuumventile AG	VAT Vakuumventile AG
0229.375VXSP	Littelfuse	Littelfuse_Reach
0229.750VXSP	Littelfuse	Littelfuse_Reach
0230006.MXSP	Littelfuse	Littelfuse_Reach
023003.5DRT1SP	Littelfuse	Littelfuse_Reach
02302.25HXSP	Littelfuse	Littelfuse_Reach
0288-24-24C	Parker Hannifin	Parker Hannifin
0293020.U	Littelfuse	Littelfuse_Reach
0295040.U	Littelfuse	Littelfuse_Reach
03-901.2	EAO	EAO
030003215	Bossard Group	Bossard Group
030005051	Bossard Group	Bossard Group
030005241	Bossard Group	Bossard Group
030005472	Bossard Group	Bossard Group
030137	Brady Corporation	Brady Corporation
0301432	SCHUNK SE & Co. KG	SCHUNK GmbH & Co. KG
0301466	SCHUNK SE & Co. KG	SCHUNK GmbH & Co. KG
0303-4-6-SS	Parker Hannifin	Parker Hannifin
0304 565.07	ABB	ABB Semiconductors AG
030756NT	Honeywell	Honeywell
030756NT-AC	Honeywell	Honeywell
030756NT-ACS	Honeywell	Honeywell
030756NT-UP	Honeywell	Honeywell
031-000-043	Bossard Group	Bossard Group
034-000-164	Bossard Group	Bossard Group
03452LS1HXL	Littelfuse	Littelfuse_Reach
03452QS8H	Littelfuse	Littelfuse_Reach
03453LF1HXN	Littelfuse	Littelfuse_Reach
0358020	SCHUNK SE & Co. KG	SCHUNK GmbH & Co. KG
036-000-014	Bossard Group	Bossard Group
036-000-019	Bossard Group	Bossard Group
036-000-025	Bossard Group	Bossard Group
036-014-014	Bossard Group	Bossard Group
036-014-018	Bossard Group	Bossard Group
036-020-016	Bossard Group	Bossard Group
036-020-021	Bossard Group	Bossard Group
036-020-026	Bossard Group	Bossard Group
036-020-039	Bossard Group	Bossard Group
036-022-001	Bossard Group	Bossard Group
036-024-017	Bossard Group	Bossard Group
036-024-115	Bossard Group	Bossard Group
036-026-002	Bossard Group	Bossard Group
036-026-003	Bossard Group	Bossard Group
036-026-006	Lee Spring	Lee Spring
036-026-017	Bossard Group	Bossard Group
036-026-021	Bossard Group	Bossard Group
036-026-022	Bossard Group	Bossard Group
036-028-012	Bossard Group	Bossard Group
036-028-014	Bossard Group	Bossard Group
036-035-022	Bossard Group	Bossard Group
036-050-010	Bossard Group	Bossard Group
036-700-463	Bossard Group	Bossard Group
036-700-686	Bossard Group	Bossard Group
036-701-004	Bossard Group	Bossard Group
036-701-031	Bossard Group	Bossard Group
036-701-433	Bossard Group	Bossard Group
036-701-437	Bossard Group	Bossard Group
036-702-152	Bossard Group	Bossard Group
036-702-255	Bossard Group	Bossard Group
036-702-256	Bossard Group	Bossard Group
036-704-046	Bossard Group	Bossard Group
036-704-048	Bossard Group	Bossard Group
036-705-012	Bossard Group	Bossard Group
036-708-188	Bossard Group	Bossard Group
036-708-484	Bossard Group	Bossard Group
036-708-956	Bossard Group	Bossard Group
036-708-965	Bossard Group	Bossard Group
036-709-012	Bossard Group	Bossard Group
036-709-013	Bossard Group	Bossard Group
036-709-019	Bossard Group	Bossard Group
036-709-029	Bossard Group	Bossard Group
036-709-113	Bossard Group	Bossard Group
036-890-102	Bossard Group	Bossard Group
036-890-138	Bossard Group	Bossard Group
036-890-146	Bossard Group	Bossard Group
036-890-151	Bossard Group	Bossard Group
036-900-113	Bossard Group	Bossard Group
036-994-052	Bossard Group	Bossard Group
036-994-053	Bossard Group	Bossard Group
036-994-066	Bossard Group	Bossard Group
036-994-085	Bossard Group	Bossard Group
036-994-087	Panduit	Panduit
036-994-095	Bossard Group	Bossard Group
036-994-096	Bossard Group	Bossard Group
036-994-101	Bossard Group	Bossard Group
036-995-018	Bossard Group	Bossard Group
036-995-021	Bossard Group	Bossard Group
036-995-030	Bossard Group	Bossard Group
036-995-038	Bossard Group	Bossard Group
036-995-040	Bossard Group	Bossard Group
037-000-079	Parker Hannifin	Parker Hannifin
037-000-086	Parker Hannifin	Parker Hannifin
037-000-087	Parker Hannifin	Parker Hannifin
037-000-116	Parker Hannifin	Parker Hannifin
037-000-225	Parker Hannifin	Parker Hannifin
037-000-280	Bossard Group	Bossard Group
037-000-311	Brady Corporation	Brady Corporation
037-000-425	Bossard Group	Bossard Group
037-000-704	Bossard Group	Bossard Group
037-001-124	Panduit	Panduit
037-001-317	ebm-papst	ebm-papst
037-001-326	Bossard Group	Bossard Group
037-001-361	Bossard Group	Bossard Group
037-001-494	Parker Hannifin	Parker Hannifin
037-001-495	Parker Hannifin	Parker Hannifin
037-001-738	Parker Hannifin	Parker Hannifin
037-001-744	Parker Hannifin	Parker Hannifin
037-001-756	ebm-papst	ebm-papst
037-013-005	Lee Spring	Lee Spring
037-015-002	Lee Spring	Lee Spring
037-024-002	Lee Spring	Lee Spring
037-032-014	Parker Hannifin	Parker Hannifin
038-003-403	Bossard Group	Bossard Group
038-004-683	Bossard Group	Bossard Group
038-004-684	Bossard Group	Bossard Group
038-004-702	Bossard Group	Bossard Group
038-004-703	Bossard Group	Bossard Group
03AR1	Delta Electronics	Delta Electronics
03DPCG5S	Delta Electronics	Delta Electronics
03DPDG3S	Delta Electronics	Delta Electronics
03DRCW5	Delta Electronics	Delta Electronics
03GEEG3V	Delta Electronics	Delta Electronics
03GEEW3ES	Delta Electronics	Delta Electronics
03GEEW3J	Delta Electronics	Delta Electronics
03GEEW3QM	Delta Electronics	Delta Electronics
03GENW3E	Delta Electronics	Delta Electronics
03GENW3ES	Delta Electronics	Delta Electronics
03IB2D	Delta Electronics	Delta Electronics
03IB2S	Delta Electronics	Delta Electronics
03KEEG3EA	Delta Electronics	Delta Electronics
03KEEG3EAM	Delta Electronics	Delta Electronics
03KEEW3DAM	Delta Electronics	Delta Electronics
