,Man,Modules,Running Status,Module Comment,old
0,Omron,Omron,Pending Data Team,site update and need new simulation,Regular Running
1,P-Tec,P-Tec,Pending Data Team,site update and need new simulation,Regular Running
2,Velleman Group nv,Velleman,Pending Data Team,site update and need new simulation,Regular Running
3,ATI-Interco,ATI-Interco,Pending Data Team,site update and need new simulation,Regular Running
4,AVT Wiring & Connecting,AVT Industrial Components BV,Pending Data Team,site update and need new simulation,Regular Running
5,DESTACO,DESTACO,Pending Data Team,site update and need new simulation,Regular Running
6,"DIRAK, INC",DIRAK,Pending Data Team,site update and need new simulation,Regular Running
7,Murrplastik,Murrplastik,Pending Data Team,site update and need new simulation,Regular Running
8,VWR International,VWR International,Pending Data Team,site update and need new simulation,Regular Running
9,Dataram,Dataram,Stopped,No Search bar,Regular Running
10,Gowanda Electronics,Gowanda Electronics,Pending Data Team,Site Updates need new simulation,Regular Running
11,"Mettler-Toledo, LLC",Mettler-Toledo_LLC,Regular Running,,
12,icotek GmbH,icotek GmbH,Stopped,"needs click, based LC Approved",Regular Running
13,Kimberly-Clark,Kimberly-Clark,Pending Data Team,Need new simulation,Regular Running
14,NTE Electronics,NTE Electronics,Pending Data Team,Need new simulation,Regular Running
15,Daishinku,Daishinku,Pending Data Team,Need new simulation,Run by request
16,Colder Products Company,Colder Products Company,Regular Running,,
17,Bossard Nederland BV.,Jeveka bv,Pending Data Team,"site blocks,Site Updates need new simulation",Regular Running
18,Fenner Drives,Fenner Drives,Regular Running,,
19,Honeywell,Honeywell,Regular Running,,
20,IQD Frequency Products,IQD Frequency Products,Pending Data Team,site update and need new simulation,Regular Running
21,"SUSUMU CO.,LTD",SUSUMU,Regular Running,,
22,Eravant,Eravant,Regular Running,,
23,"Adesso, Inc",Adesso_Inc,Regular Running,,
24,Spectrum Control Inc,APITech_ECCN,Stopped,no simulation sence 2023,Regular Running
25,"Belkin International, Inc",Belkin International_Inc,Regular Running,,
26,K.S.TERMINALS INC,K.S. Terminals,Pending Data Team,site update and need new simulation,Regular Running
27,RAM Mounts,RAM Mount,Regular Running,,
28,Schwer Fittings GmbH,Schwer Fittings GmbH,Regular Running,,
29,Solid State Inc,Solid State Incorporated,Stopped,out-of-business supplier,Regular Running
30,Spectrum Control Inc,Spectrum Control Inc,Pending Data Team,site update and need new simulation,Regular Running
31,System Sensor,System Sensor,Regular Running,Most of parts are not found,
32,Schneider Electric,American Power Conversion_LC,Run By Request, shadow root,
33,Dantona Industries,Dantona Industries,Regular Running,,
34,KRYTAR,KRYTAR,Regular Running,,
35,LINK-PP,LINK-PP,Regular Running,,
36,"LuGuang Electronic Tech.Co.,Ltd",LuGuang Electronic Tech.Co_Ltd,Regular Running,,
37,"YEA SHIN TECHNOLOGY CO.,LTD",YEA SHIN TECHNOLOGY CO_LTD,Run By Request,,
38,Collins Aerospace,Collins Aerospace,Pending Data Team,Need new simulation,Run by request
39,Datatronics,Datatronic Distribution,Pending Data Team,Need new simulation,Run by request
40,"Radian Thermal Products, Inc",Radian Thermal Products,Pending Data Team,Need new simulation,Run by request
41,"Skynet Electronic Co., Ltd",Skynet Electronic Co_Ltd,Pending Data Team,Need new simulation,Run by request
42,EMKA Beschlagteile GmbH & Co. KG,EMKA Beschlagteile GmbH & Co. KG,Regular Running,,
43,GC Electronics,GC Electronics,Regular Running,,
44,Leader Tech,Leader Tech,Regular Running,,
45,"Monoprice, Inc","Monoprice, Inc",Regular Running,,
46,Panasonic,Panasonic,SW Issue,Exception redirect to main page,Run by request
47,Seiko Instruments Inc,Seiko Instruments Inc,Regular Running,,
48,Staeubli International AG,Staubli,Stopped,Site display order part,Regular Running
49,WECO Electrical Connectors,WECO Electrical Connectors,Pending Data Team,Need new simulation,Regular Running
50,Comair Rotron,Comair Rotron_2,Schedule Running,,
51,Panasonic,Panasonic Electric Works Corporation of America_OBS,SW Issue,Exception redirect to main page,Run By Request
52,"CHANGJIANG CONNECTORS Co,. Ltd","CHANGJIANG CONNECTORS Co,. Ltd",Pending Data Team,Need new simulation,Regular Running
53,SUSPA GmbH,SUSPA GmbH,Stopped,"site blocking, Site Update need new simulation",Regular Running
54,Helical Products,Helical Products,Regular Running,,
55,Novasom Industries,Novasom Industries,Stopped,"the site does not have a search bar, Need new simulation",Regular Running
56,ELEKTROZUBEHOR SPA,ELEKTROZUBEHOR SPA,Regular Running,,
57,J.I. Morris Miniature Fasteners,J.I. Morris Miniature Fasteners,Pending Data Team,Need new simulation,Regular Running
58,Marco Rubber & Plastics,Marco Rubber & Plastics_LLC,Pending Data Team,Need new simulation,Regular Running
59,MaxBotix Incorporated,MaxBotix Incorporated,Pending Data Team,Need new simulation,Regular Running
60,NEC Corporation,NEC Corporation,Pending Data Team,Need new simulation,Regular Running
61,"W. L. Gore & Associates, Inc",W. L. Gore & Associates,Stopped,The search does not work all parts are not found,Regular Running
62,Defense Supply Center Columbus,Defense Supply Center Columbus_Nato Cage,Pending Data Team,Need new simulation,Run by request
63,Ancor Marine Grade,Ancor Marine Grade,Stopped,Site display Catalog,Regular Running
64,"Davies Molding, LLC",Davies Molding,Pending Data Team,Need new simulation,Regular Running
65,Tai-Tech Advanced Electronics,Tai-Tech Advanced Electronics,Stopped,"the site doesn't have a search bar, Based LC Approved",Regular Running
66,Comair Rotron,Comair Rotron,Stopped,Distributor site,Regular Running
67,Broadcom Inc,Avago Technologies,Pending Data Team,Need new simulation,Run by request
68,CTS Corporation,CTS,Pending Data Team,Need new simulation,Schedual Running
69,WINSTAR Display,WINSTAR Display,Pending Data Team,Most of parts are not found,Regular Running
70,STEGO Elektrotechnik GmbH,STEGO,Stopped,we can't make module for this site as The site has only 192 Product existing in one Table you can copy the table directly.,Regular Running
71,AAEON Technology Inc,AAEON Technology,Pending Data Team,Need new simulation,Regular Running
72,ADAM TECH,ADAM TECH_CrossReference,Pending Data Team,Need new simulation,Run by request
73,Amphenol,Amphenol,Pending Data Team,"Site Updated, Wait New Simulation",
74,Amphenol SOCAPEX,Amphenol SOCAPEX,Pending Data Team,"Site update,need new simulation",Regular Running
75,Amphenol,Amphenol_Scrub_Inv,Pending Data Team,"Site Updated, Wait New Simulation",
76,Amphenol,Amphenolltw,Pending Data Team,"Site Updated, Wait New Simulation",
77,Anytek Technology Corporation Ltd,ANYTEK Technology Corporation_Links,Pending Data Team,"Site Updated, Wait New Simulation",
78,Aries Electronics,Aries Electronics,Pending Data Team,Wait Data Teams Action,
79,AST Bearings LLC,AST Bearings LLC,Pending Data Team,Useless most of parts not found CM 19,Regular Running
80,ATP Electronics,ATP Electronics,Pending Data Team,Wait Data Teams Action,
81,Bourns,Bourns_Scrub_Inv,Pending Data Team,"Site Updated, Wait New Simulation",
82,CommScope,CommScope_RoHS,Pending Data Team,"Site Updated, Wait New Simulation",Run by request
83,Conrad Electronic SE,Conrad Electronic SE,Pending Data Team,Useless most of parts not found CM 28,Regular Running
84,Eaton,Cooper Industries_B-Line,Pending Data Team,"Site Updated, Wait New Simulation",
85,Eaton,Cooper Industries_Crouse-Hinds,Pending Data Team,"Site Updated, Wait New Simulation",
86,Eaton,Cooper Industries_Wiring-Devices,Pending Data Team,"Site Updated, Wait New Simulation",
87,Cornell Dubilier Electronics,Cornell Dubilier Electronics_LC,Pending Data Team,"Site Updated, Wait New Simulation",
88,Data Delay Devices,Data Delay Devices,Pending Data Team,"Site Updated, Wait New Simulation",
89,Distrelec Group,Distrelec Group,Pending Data Team,Site Update need new simulation,Run by request
90,ERNI Electronics,ERNI Electronics_Scrubbing,Pending Data Team,"Site Updated, Wait New Simulation",
91,"Excelliance MOS Co., Ltd","Excelliance MOS Co., Ltd_Scrub_Inv",Pending Data Team,"Site update,need new simulation",Run by request
92,Frontier Electronics,Frontier Electronics,Pending Data Team,"Site Updated, Wait New Simulation",
93,Glenair,Glenair_Scrub_Inv,Pending Data Team,"Sample Sent, Wait Approval",
94,Gowanda Electronics,Gowanda Electronics_COO,Pending Data Team,"Site Updated, Wait New Simulation",
95,Hewlett-Packard Development Company,Hewlett-Packard Development Company,Pending Data Team,"Site Updated, Wait New Simulation",
96,Honeywell,Honeywell_Scrubing,Run by request,,
97,"J.S.T.MFG.CO.,LTD",JST Manufacturing_CAD,Pending Data Team,"Site Updated, Wait New Simulation",
98,Kathrein,KATHREIN SE,Pending Data Team,"Site Updated, Wait New Simulation",
99,Kyocera,Kyocera_ROHS,Pending Data Team,"Site Updated, Wait New Simulation",
100,"LAPIS Technology Co., Ltd",LAPIS Semiconductor Co Ltd,Pending Data Team,"Site Updated, Wait New Simulation",
101,LEONI AG,LEONI AG_ROHS,Pending Data Team,"Site Updated, Wait New Simulation",
102,Linear Systems,Linear Integrated Systems,Pending Data Team,Site Update need new simulation,Regular Running
103,Microchip Technology,Microchip Technology,Pending Data Team,"Site Updated, Wait New Simulation",
104,Murata Manufacturing,Murata Manufacturing_CrossReference,Pending Data Team,Need new simulation,Run by request
105,nVent,nVent_Hoffman,Pending Data Team,"Site Updated, Wait New Simulation",
106,Omron,Omron_Env,Pending Data Team,"Site Updated, Wait New Simulation",
107,onsemi,ON Semiconductor_MDS,Pending Data Team,"Sample Sent, Wait Approval",
108,Optimas OE Solutions LLC,Optimas OE Solutions LLC,Pending Data Team,"Site Updated, Wait New Simulation",Regular Running
109,"Oupiin Enterprise Co.,Ltd",Oupiin America_CrossReference,Pending Data Team,"Site Updated, Wait New Simulation",
